"mult_fixed_alternative","An alternative implementation of `mult_fixed`, using `mult_fixed_exact`, followed by `round_down_fixed`. Should have same semantics and similar performance."
"coef_div_pre","A helper function used to implement division in both `FastFixedPoint` and `FastFixedPointVec` modules. Intended for standard library programmers only."
"div_fixed","The ratio of the given two fixed-point numbers. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers or the ratio does not fit to this number of bits. Also fails if the second operand is zero."
"lt_signed","Signed comparison of two integers in `uint[N]`, i.e. `x` and `y` are interpreted as bw-bit signed integers in the range `-2^(bw-1) .. 2^(bw-1)-1`. Tests if `x` is less than `y`."
"lt_fixed","Test if the first given fixed-point number is less than the second one. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"gt_fixed","Test if the first given fixed-point number is less than the second one. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"le_fixed","Test if the first given fixed-point number is less than or equal to the second one. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"ge_fixed","Test if the first given fixed-point number is greater than or equal to the second one. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"eq_fixed","Test if the given two fixed-point numbers are equal. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"neq_fixed","Test if the given two fixed-point numbers are distinct. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"fixed_pre","Conversion of the given fixed-point number to the stage `$pre`."
"fixed_post","Conversion of the given fixed-point number to the stage `$post`, putting it on a wire if it is in `$pre`."
"fixed_prover","Conversion of the given fixed-point number to the domain `@prover`."
"fixed_verifier","Conversion of the given fixed-point number from the domain `@public` to the domain `@verifier`."
"fixed_to_bitstring","Representing the given fixed-point number as a bit string (for testing purposes)."
"fixed_to_string","Representing the given fixed-point number in decimal (for testing purposes)."
"fixed_cond","Oblivious choice according to the given boolean between the given two fixed-point numbers. Assumes that the numbers are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"min_fixed","Find the minimum of two fixed-point numbers. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"max_fixed","Find the maximum of two fixed-point numbers. Assumes that they are correctly formed. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers."
"sqrt_fixed_pre","Square root of the given fixed-point number in `$pre`. Assumes that the number is correctly formed. Fails if the given fixed-point number is negative."
"sqrt_fixed","Square root of the given fixed-point number. Assumes that the number is correctly formed. Fails if the given fixed-point number is negative."
